Página,Pagina,Código,Nombre ,Precio,TASA CAMBIO PESO A DÓLAR,COSTO EN $,TT,% DE GASTOS 35%,TOTAL,TASA BINANCE,TOTAL Bs EN BINANCE,TASA BCV,PRECIO AL CATALAGO,PRECIO FINAL
24,14,2211,Cielo en Rosa Eau de Parfum (+ Regalo),99.500,"3.600,00","27,64",26%,"7,19","34,83","550,00","19.153,75","395,00","48,49","48,50"
,23,39444,Aretes Orbe Dorezzi,39.000,"3.600,00","10,83",26%,"2,82","13,65","550,00","7.507,50","395,00","19,01","16,00"
25,23,43052,Argollas Dorezzi Cristal,55.900,"3.600,00","15,53",26%,"4,04","19,57","550,00","10.760,75","395,00","27,24","27,50"
26,23,43053,Argollas Platinium Cristal,55.900,"3.600,00","15,53",26%,"4,04","19,57","550,00","10.760,75","395,00","27,24","27,50"
26,23,37176,Sortija Rivoli (Talla 6),76.100,"3.600,00","21,14",26%,"5,50","26,64","550,00","14.649,25","395,00","37,09","37,50"
27,23,39786,Set Aretes Classy (5 pares),81.900,"3.600,00","22,75",26%,"5,92","28,67","550,00","15.765,75","395,00","39,91","40,00"
,23,43332,Set Aretes Classic Perlé (4 pares),136.900,"3.600,00","38,03",26%,"9,89","47,92","550,00","26.353,25","395,00","66,72","67,00"
28,23,39784,Argollas Classy Dorezzi,52.900,"3.600,00","14,69",26%,"3,82","18,52","550,00","10.183,25","395,00","25,78","26,00"
29,23,37387,Aretes Colgante Dorezzi,42.000,"3.600,00","11,67",26%,"3,03","14,70","550,00","8.085,00","395,00","20,47","20,50"
29,30,6232,Full Powder Proof Mate (Tono 1),62.500,"3.600,00","17,36",26%,"4,51","21,88","550,00","12.031,25","395,00","30,46","30,50"
30,33,6187,Paleta de Sombras Alma Rosé,64.500,"3.600,00","17,92",26%,"4,66","22,58","550,00","12.416,25","395,00","31,43","31,50"
31,33,60054,Brocha Dual Sombras N° 201,37.200,"3.600,00","10,33",26%,"2,69","13,02","550,00","7.161,00","395,00","18,13","15,50"
31,33,4683,Máscara Uniquecil Extra XL (Negro),27.000,"3.600,00","7,50",26%,"1,95","9,45","550,00","5.197,50","395,00","13,16","13,50"
32,36,758,Ya! Labial Líquido Mate Dark Nude,23.100,"3.600,00","6,42",26%,"1,67","8,09","550,00","4.446,75","395,00","11,26","11,50"
32,36,6135,Ya! Labial Hidratante Rojo Corazón (2x1),35.000,"3.600,00","9,72",26%,"2,53","12,25","550,00","6.737,50","395,00","17,06","17,50"
33,36,5441,Ya! Barra Multiusos 3 en 1 Rosa,35.400,"3.600,00","9,83",26%,"2,56","12,39","550,00","6.814,50","395,00","17,25","17,50"
34,36,6412,Ya! Máscara Dúo Multiusos,32.400,"3.600,00","9,00",26%,"2,34","11,34","550,00","6.237,00","395,00","15,79","16,00"
37,37,5316,Delineador Retráctil para Ojos Negro,27.500,"3.600,00","7,64",26%,"1,99","9,63","550,00","5.293,75","395,00","13,40","13,50"
38,37,5317,Delineador Retráctil para Ojos Marrón,27.500,"3.600,00","7,64",26%,"1,99","9,63","550,00","5.293,75","395,00","13,40","13,50"
39,37,4802,Delineador en Lápiz para Cejas Marrón,26.400,"3.600,00","7,33",26%,"1,91","9,24","550,00","5.082,00","395,00","12,87","13,00"
40,38,2043,Suero Concentrado Antioxidante Vitamina C,89.100,"3.600,00","24,75",26%,"6,44","31,19","550,00","17.151,75","395,00","43,42","43,50"
40,38,157,Limpiador Energizante Detox Sentiva,42.000,"3.600,00","11,67",26%,"3,03","14,70","550,00","8.085,00","395,00","20,47","20,50"
41,39,2048,Suero Concentrado Hidratante Ácido Hialurónico,89.100,"3.600,00","24,75",26%,"6,44","31,19","550,00","17.151,75","395,00","43,42","43,50"
41,40,163,Suero Concentrado Antiedad Retinol,105.000,"3.600,00","29,17",26%,"7,58","36,75","550,00","20.212,50","395,00","51,17","51,50"
42,41,6278,Hydra-Lip Líquido Satinado Soft Pink,33.000,"3.600,00","9,17",26%,"2,38","11,55","550,00","6.352,50","395,00","16,08","16,50"
42,52,233,Cielo Eau de Parfum,129.350,"3.600,00","35,93",26%,"9,34","45,27","550,00","24.899,88","395,00","63,04","63,50"
43,52,668,Jabón en Barra Perfumado Cielo,12.500,"3.600,00","3,47",26%,"0,90","4,38","550,00","2.406,25","395,00","6,09","6,50"
43,53,2211,Cielo en Rosa Eau de Parfum,99.500,"3.600,00","27,64",26%,"7,19","34,83","550,00","19.153,75","395,00","48,49","48,50"
43,56,6232,Full Powder Proof Mate Base en Polvo Tono 1,62.500,"3.600,00","17,36",26%,"4,51","21,88","550,00","12.031,25","395,00","30,46","30,50"
44,56,6233,Full Powder Proof Mate Base en Polvo Tono 2,62.500,"3.600,00","17,36",26%,"4,51","21,88","550,00","12.031,25","395,00","30,46","30,50"
44,56,6234,Full Powder Proof Mate Base en Polvo Tono 3,62.500,"3.600,00","17,36",26%,"4,51","21,88","550,00","12.031,25","395,00","30,46","30,50"
45,56,6235,Full Powder Proof Mate Base en Polvo Tono 4,62.500,"3.600,00","17,36",26%,"4,51","21,88","550,00","12.031,25","395,00","30,46","30,50"
45,56,6236,Full Powder Proof Mate Base en Polvo Tono 5,62.500,"3.600,00","17,36",26%,"4,51","21,88","550,00","12.031,25","395,00","30,46","30,50"
46,56,6237,Full Powder Proof Mate Base en Polvo Tono 6,62.500,"3.600,00","17,36",26%,"4,51","21,88","550,00","12.031,25","395,00","30,46","30,50"
46,56,6362,Serum Primer Relleno & Efecto Lift,65.400,"3.600,00","18,17",26%,"4,72","22,89","550,00","12.589,50","395,00","31,87","32,00"
46,56,60056,Brocha Rubor e Iluminador N° 103,58.800,"3.600,00","16,33",26%,"4,25","20,58","550,00","11.319,00","395,00","28,66","29,00"
47,57,6141,Rubor Compacto Mora Glow,49.000,"3.600,00","13,61",26%,"3,54","17,15","550,00","9.432,50","395,00","23,88","24,00"
47,57,4018,Rubor Compacto Champagne,49.000,"3.600,00","13,61",26%,"3,54","17,15","550,00","9.432,50","395,00","23,88","24,00"
47,57,4015,Rubor Compacto Rosa Irresistible,49.000,"3.600,00","13,61",26%,"3,54","17,15","550,00","9.432,50","395,00","23,88","24,00"
47,57,4012,Rubor Compacto Petal Rose,49.000,"3.600,00","13,61",26%,"3,54","17,15","550,00","9.432,50","395,00","23,88","24,00"
47,57,4017,Rubor Compacto Bronzage,49.000,"3.600,00","13,61",26%,"3,54","17,15","550,00","9.432,50","395,00","23,88","24,00"
47,57,6361,Rubor Compacto Sunglow (Iluminador),49.000,"3.600,00","13,61",26%,"3,54","17,15","550,00","9.432,50","395,00","23,88","24,00"
48,57,6142,Rubor Compacto Brownie,49.000,"3.600,00","13,61",26%,"3,54","17,15","550,00","9.432,50","395,00","23,88","24,00"
48,57,6423,Polvos Sueltos Beige Universal,54.500,"3.600,00","15,14",26%,"3,94","19,08","550,00","10.491,25","395,00","26,56","27,00"
49,57,6424,Polvos Sueltos Amarillo Universal,54.500,"3.600,00","15,14",26%,"3,94","19,08","550,00","10.491,25","395,00","26,56","27,00"
49,57,6422,Polvos Sueltos Destello Universal,54.500,"3.600,00","15,14",26%,"3,94","19,08","550,00","10.491,25","395,00","26,56","27,00"
50,57,5317,Delineador Retráctil en Gel Marrón,27.500,"3.600,00","7,64",26%,"1,99","9,63","550,00","5.293,75","395,00","13,40","13,50"
50,57,5316,Delineador Retráctil en Gel Negro,27.500,"3.600,00","7,64",26%,"1,99","9,63","550,00","5.293,75","395,00","13,40","13,50"
51,57,5319,Delineador Retráctil en Gel Verde,27.500,"3.600,00","7,64",26%,"1,99","9,63","550,00","5.293,75","395,00","13,40","13,50"
51,57,5318,Delineador Retráctil en Gel Azul Profundo,27.500,"3.600,00","7,64",26%,"1,99","9,63","550,00","5.293,75","395,00","13,40","13,50"
51,57,6238,Delineador Retráctil en Gel Celeste Metálico,27.500,"3.600,00","7,64",26%,"1,99","9,63","550,00","5.293,75","395,00","13,40","13,50"
52,57,5472,Delineador Retráctil en Gel Blanco,27.500,"3.600,00","7,64",26%,"1,99","9,63","550,00","5.293,75","395,00","13,40","13,50"
53,57,5104,Delineador Plumón Tattoo,28.000,"3.600,00","7,78",26%,"2,02","9,80","550,00","5.390,00","395,00","13,65","14,00"
54,57,60053,Set de Brochas x4,109.800,"3.600,00","30,50",26%,"7,93","38,43","550,00","21.136,50","395,00","53,51","53,50"
55,62,758,Ya! Labial Líquido Mate Dark Nude,23.100,"3.600,00","6,42",26%,"1,67","8,09","550,00","4.446,75","395,00","11,26","11,50"
55,62,759,Ya! Labial Líquido Mate Capuccino,23.100,"3.600,00","6,42",26%,"1,67","8,09","550,00","4.446,75","395,00","11,26","11,50"
55,62,760,Ya! Labial Líquido Mate Malva Rose,23.100,"3.600,00","6,42",26%,"1,67","8,09","550,00","4.446,75","395,00","11,26","11,50"
55,62,763,Ya! Labial Líquido Mate Wine Red,23.100,"3.600,00","6,42",26%,"1,67","8,09","550,00","4.446,75","395,00","11,26","11,50"
56,62,757,Ya! Labial Líquido Mate Peach,23.100,"3.600,00","6,42",26%,"1,67","8,09","550,00","4.446,75","395,00","11,26","11,50"
57,62,6039,Ya! Labial Líquido Mate Terra Peach,23.100,"3.600,00","6,42",26%,"1,67","8,09","550,00","4.446,75","395,00","11,26","11,50"
57,62,756,Ya! Labial Líquido Mate Nude Rosé,23.100,"3.600,00","6,42",26%,"1,67","8,09","550,00","4.446,75","395,00","11,26","11,50"
58,63,6135,Ya! Labial Hidratante Rojo Corazón,35.000,"3.600,00","9,72",26%,"2,53","12,25","550,00","6.737,50","395,00","17,06","17,50"
58,63,6134,Ya! Labial Hidratante Vino Para Mí,35.000,"3.600,00","9,72",26%,"2,53","12,25","550,00","6.737,50","395,00","17,06","17,50"
59,63,6136,Ya! Labial Hidratante Marrón Chocolate,35.000,"3.600,00","9,72",26%,"2,53","12,25","550,00","6.737,50","395,00","17,06","17,50"
59,63,6138,Ya! Labial Hidratante Fucsia Encendido,35.000,"3.600,00","9,72",26%,"2,53","12,25","550,00","6.737,50","395,00","17,06","17,50"
59,63,6139,Ya! Labial Hidratante Alma Nude,35.000,"3.600,00","9,72",26%,"2,53","12,25","550,00","6.737,50","395,00","17,06","17,50"
59,63,6137,Ya! Labial Hidratante Rosa Natural,35.000,"3.600,00","9,72",26%,"2,53","12,25","550,00","6.737,50","395,00","17,06","17,50"
59,63,5441,Ya! Barra Multiusos 3 en 1 Rosa,35.400,"3.600,00","9,83",26%,"2,56","12,39","550,00","6.814,50","395,00","17,25","17,50"
59,63,5442,Ya! Barra Multiusos 3 en 1 Bronce,35.400,"3.600,00","9,83",26%,"2,56","12,39","550,00","6.814,50","395,00","17,25","17,50"
59,63,6260,Ya! Barra Multiusos 3 en 1 Marrón,35.400,"3.600,00","9,83",26%,"2,56","12,39","550,00","6.814,50","395,00","17,25","17,50"
59,63,5443,Ya! Barra Multiusos 3 en 1 Coral,35.400,"3.600,00","9,83",26%,"2,56","12,39","550,00","6.814,50","395,00","17,25","17,50"
59,63,6261,Ya! Barra Multiusos 3 en 1 Sunset Bronzer,35.400,"3.600,00","9,83",26%,"2,56","12,39","550,00","6.814,50","395,00","17,25","17,50"
59,63,6412,Ya! Máscara Dúo Multiusos,32.400,"3.600,00","9,00",26%,"2,34","11,34","550,00","6.237,00","395,00","15,79","16,00"
59,74,152,Hidratante Reparador Intensivo SPF 20,97.300,"3.600,00","27,03",26%,"7,03","34,06","550,00","18.730,25","395,00","47,42","47,50"
60,74,151,Limpiador en Espuma,62.300,"3.600,00","17,31",26%,"4,50","21,81","550,00","11.992,75","395,00","30,36","30,50"
60,74,79702,Set Extracto Divino (Limpiador + Hidratante),114.000,"3.600,00","31,67",26%,"8,23","39,90","550,00","21.945,00","395,00","55,56","57,00"
61,74,60117,Bolsa de Regalo,1.900,"3.600,00","0,53",26%,"0,14","0,67","550,00","365,75","395,00","0,93","1,00"
61,77,170,BB Lips Natural Pink,33.150,"3.600,00","9,21",26%,"2,39","11,60","550,00","6.381,38","395,00","16,16","16,50"
62,77,1815,BB Lips Natural,33.150,"3.600,00","9,21",26%,"2,39","11,60","550,00","6.381,38","395,00","16,16","16,50"
62,77,172,BB Lips Black Cherry,33.150,"3.600,00","9,21",26%,"2,39","11,60","550,00","6.381,38","395,00","16,16","16,50"
63,77,176,BB Cream Matificante Claro,105000,"3.600,00","29,17",26%,"7,58","36,75","550,00","20.212,50","395,00","51,17","51,50"
63,77,174,BB Cream Hidratante Claro,105000,"3.600,00","29,17",26%,"7,58","36,75","550,00","20.212,50","395,00","51,17","51,50"
64,77,6399,BB Cream Antiedad Claro,79300,"3.600,00","22,03",26%,"5,73","27,76","550,00","15.265,25","395,00","38,65","39,00"
64,80,517,Total Block Jumbo SPF 100,92.400,"3.600,00","25,67",26%,"6,67","32,34","550,00","17.787,00","395,00","45,03","45,00"
64,80,331,Total Block SPF 100,57.500,"3.600,00","15,97",26%,"4,15","20,13","550,00","11.068,75","395,00","28,02","28,00"
64,82,344,Total Block Compacto SPF 100 (Crema),65.000,"3.600,00","18,06",26%,"4,69","22,75","550,00","12.512,50","395,00","31,68",
65,84,515,Total Block Matificante SPF 100,64.000,"3.600,00","17,78",26%,"4,62","22,40","550,00","12.320,00","395,00","31,19",
66,86,550,Total Block Active Defense SPF 50 (Tubo),59.400,"3.600,00","16,50",26%,"4,29","20,79","550,00","11.434,50","395,00","28,95",
66,88,322,Protector Solar Rostro Anti-Edad SPF 50,54.000,"3.600,00","15,00",26%,"3,90","18,90","550,00","10.395,00","395,00","26,32",
66,90,473,Body Spa Uña de Gato Crema Manos,23.400,"3.600,00","6,50",26%,"1,69","8,19","550,00","4.504,50","395,00","11,40",
67,91,471,Body Spa Uña de Gato Gel Exfoliante,39.000,"3.600,00","10,83",26%,"2,82","13,65","550,00","7.507,50","395,00","19,01",
67,93,506,Body Spa Quinua Crema Cuerpo,41.500,"3.600,00","11,53",26%,"3,00","14,53","550,00","7.988,75","395,00","20,22",
68,95,313,Body Spa Lúcuma Crema Reafirmante,43.000,"3.600,00","11,94",26%,"3,11","15,05","550,00","8.277,50","395,00","20,96",
68,98,424,Bio Milk Crema Corporal (Aromas varios),39.000,"3.600,00","10,83",26%,"2,82","13,65","550,00","7.507,50","395,00","19,01",
69,102,416,Desodorante Effective Brisa Floral,12.000,"3.600,00","3,33",26%,"0,87","4,20","550,00","2.310,00","395,00","5,85",
70,103,415,Desodorante Effective Original Roll-on,12.000,"3.600,00","3,33",26%,"0,87","4,20","550,00","2.310,00","395,00","5,85",
70,108,2132,Colonia Niñas Petit Bijou,44.500,"3.600,00","12,36",26%,"3,21","15,58","550,00","8.566,25","395,00","21,69",
70,109,2133,Colonia Niños Petit Bijou,44.500,"3.600,00","12,36",26%,"3,21","15,58","550,00","8.566,25","395,00","21,69",
71,112,201,Solo Parfum para Hombre,117.500,"3.600,00","32,64",26%,"8,49","41,13","550,00","22.618,75","395,00","57,26",
72,114,202,Solo Deep Parfum,117.500,"3.600,00","32,64",26%,"8,49","41,13","550,00","22.618,75","395,00","57,26",
72,116,218,Ohm Parfum,134.400,"3.600,00","37,33",26%,"9,71","47,04","550,00","25.872,00","395,00","65,50",
73,117,2154,Ohm Soul Eau de Parfum,134.400,"3.600,00","37,33",26%,"9,71","47,04","550,00","25.872,00","395,00","65,50",
73,120,208,Dendur Parfum,108.000,"3.600,00","30,00",26%,"7,80","37,80","550,00","20.790,00","395,00","52,63",
74,122,2151,Evoluzion Parfum,105.000,"3.600,00","29,17",26%,"7,58","36,75","550,00","20.212,50","395,00","51,17",
74,124,2145,Arom Eau de Parfum,102.000,"3.600,00","28,33",26%,"7,37","35,70","550,00","19.635,00","395,00","49,71",
74,124,2156,Arom Absolut Eau de Parfum,102.000,"3.600,00","28,33",26%,"7,37","35,70","550,00","19.635,00","395,00","49,71",
74,128,490,Gel para Después de Afeitar Titanium,26.000,"3.600,00","7,22",26%,"1,88","9,10","550,00","5.005,00","395,00","12,67",
75,128,487,Shampoo Control Caspa Titanium,33.000,"3.600,00","9,17",26%,"2,38","11,55","550,00","6.352,50","395,00","16,08",
77,134,515,Total Block Matificante SPF 100 (Contraportada),64.000,"3.600,00","17,78",26%,"4,62","22,40","550,00","12.320,00","395,00","31,19",
78,134,230,Gaïa Parfum (Contraportada),119.500,"3.600,00","33,19",26%,"8,63","41,83","550,00","23.003,75","395,00","58,24",
78,134,202,Solo Parfum (Contraportada),58.000,"3.600,00","16,11",26%,"4,19","20,30","550,00","11.165,00","395,00","28,27",
79,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
80,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
80,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
80,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
81,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
81,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
81,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
82,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
82,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
83,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
83,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
84,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
84,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
85,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
85,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
86,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
86,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
87,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
87,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
88,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
89,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
91,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
91,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
92,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
92,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
92,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
92,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
92,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
93,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
93,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
93,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
94,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
94,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
95,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
95,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
96,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
96,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
97,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
99,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
99,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
101,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
101,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
,,,,,"3.600,00","0,00",26%,"0,00","0,00","550,00","0,00","395,00","0,00",
